Symbol,P/E Ratio,EPS,Prev Close
CPHC,115.31,0.23,26.799999237060547
CPLP,7.05,1.83,12.1899995803833
CPOP,3.28,0.248,0.8399999737739563
CPRT,24.03,2.95,70.52999877929688
CPRX,23.24,0.71,16.399999618530273
CPSH,111.2,0.025,2.7699999809265137
CPSI,29.64,0.98,28.329999923706055
CPSS,11.56,0.9,9.920000076293945
CRAI,35.97,3.07,109.36000061035156
CRCT,11.48,0.88,10.020000457763672
CREG,0.94,1.58,1.4600000381469727
CRESY,4.24,1.56,6.510000228881836
CRMT,7.4,10.09,71.69999694824219
CRNC,22.34,1.17,25.59000015258789
CROX,20.81,5.88,118.58999633789062
CRSR,13.96,1.19,16.530000686645508
CRTO,26.28,1.16,29.989999771118164
CRUS,30.84,3.37,104.52999877929688
CRVL,77.36,2.38,189.05999755859375
CRWS,7.99,0.73,5.809999942779541
CSCO,21.13,2.39,50.939998626708984
CSGP,11.49,5.86,66.76000213623047
CSGS,29.28,1.82,53.18000030517578
CSIQ,17.25,2.38,35.86000061035156
CSPI,265.54,0.05,11.859999656677246
CSQ,9.35,1.45,13.489999771118164
CSTE,20.9,0.21,4.25
CSTR,9.08,1.63,14.670000076293945
CSWC,20.49,0.84,16.90999984741211
CSWI,45.06,3.02,134.97000122070312
CSX,8.25,3.53,29.18000030517578
CTAS,48.07,9.14,441.7900085449219
CTBI,9.26,4.31,38.869998931884766
CTG,13.69,0.55,7.449999809265137
CTKB,930.0,0.01,9.149999618530273
CTRN,8.8,2.32,23.309999465942383
CTSH,22.91,2.57,58.70000076293945
CULL,7.51,1.49,10.75
CVBF,12.62,1.5,18.25
CVCO,43.29,6.83,294.3399963378906
CVCY,12.4,1.7,21.020000457763672
CVLG,32.84,1.02,32.56999969482422
CVLY,13.76,1.56,21.1200008392334
CWBC,13.14,0.97,12.5
CWCO,60.59,0.24,14.609999656677246
CWST,41.75,1.89,79.87000274658203
CXDO,3.86,0.46,1.7699999809265137
CYAN,4.58,0.201,0.9399999976158142
CZFS,10.74,7.45,79.27999877929688
CZNC,13.98,1.55,21.520000457763672
CZWI,8.04,1.41,10.899999618530273
DAKT,23.46,0.21,4.909999847412109
DCOM,13.18,1.86,23.559999465942383
DCOMP,9.03,1.86,16.149999618530273
DDI,4.73,1.7,8.050000190734863
DGICA,7.57,2.0,14.9399995803833
DGICB,7.61,2.0,14.300000190734863
DGII,124.06,0.26,32.34000015258789
DHIL,10.22,15.96,160.35000610351562
DIOD,47.49,1.88,90.43000030517578
DISH,2.47,3.88,8.989999771118164
DJCO,7.65,35.56,271.94000244140625
DLHC,19.36,0.55,10.640000343322754
DLO,73.17,0.22,15.0600004196167
DLTH,16.05,0.42,6.820000171661377
DLTR,24.74,5.65,141.0800018310547
DMLP,45.39,0.61,27.219999313354492
DNLI,47.09,0.49,23.329999923706055
DOOO,23.82,3.34,78.08000183105469
DORM,22.8,3.62,81.94000244140625
DOX,18.21,5.12,93.25
DRVN,110.8,0.26,27.979999542236328
DSGX,128.97,0.61,78.44000244140625
DSKE,351.0,0.02,6.650000095367432
DXCM,22.48,5.2,117.20999908447266
EA,28.34,4.05,113.5199966430664
EBAY,10.55,4.12,43.040000915527344
EBC,29.45,0.43,12.199999809265137
EBIX,4.76,3.02,13.760000228881836
EBMT,4.72,3.32,15.140000343322754
EBTC,10.29,3.16,31.510000228881836
ECPG,6.91,6.68,46.06999969482422
EDTX,212.4,0.05,10.880000114440918
EDTXU,204.2,0.05,10.210000038146973
EDUC,2.44,1.315,3.109999895095825
EFSC,14.93,3.25,46.84000015258789
EFSCP,4.84,3.46,16.959999084472656
EGAN,31.35,0.24,7.550000190734863
EGBN,7.63,4.75,35.52000045776367
EGRX,30.75,0.87,26.690000534057617
EHTH,5.36,1.52,7.800000190734863
EJH,0.5,0.224,0.1120000034570694
ELTK,7.38,0.58,4.28000020980835
EML,13.61,1.33,17.489999771118164
ENPH,307.98,0.67,192.50999450683594
ENSG,28.57,3.19,91.5999984741211
ENTG,35.08,2.33,82.77999877929688
EPSN,169.33,0.03,4.989999771118164
EQIX,149.47,4.56,689.4500122070312
ERIE,39.03,5.88,232.92999267578125
ERII,46.62,0.47,21.420000076293945
ESCA,6.33,2.07,13.029999732971191
ESEA,31.11,0.58,17.459999084472656
ESGR,2.86,78.8,222.8000030517578
ESGRO,0.28,78.8,22.110000610351562
ESGRP,0.27,78.8,21.549999237060547
ESLT,32.59,5.38,175.13999938964844
ESOA,25.11,0.09,2.200000047683716
ESQ,20.47,1.86,36.86000061035156
ESSA,10.19,1.58,15.819999694824219
ETSY,41.5,2.69,108.36000061035156
EVO,11.67,0.85,9.550000190734863
